Function Evaluation,Energy (Hartree)
1,-2765.0745447341747
2,-2765.3116107301335
3,-2765.5816608444766
4,-2765.5110557368007
5,-2765.658946504265
6,-2765.7078679818833
7,-2765.722152979519
8,-2765.6907187000797
9,-2765.7306850410678
10,-2765.715367454659
11,-2765.7034824013035
12,-2765.7360501471703
13,-2765.7336161991457
14,-2765.740220029669
15,-2765.7482208806823
16,-2765.750477631132
17,-2765.7515212248086
18,-2765.6928609222573
19,-2765.7304964904297
20,-2765.6924058310265
21,-2765.794890481019
22,-2765.8975853955344
23,-2765.8566131069924
24,-2765.8860925158883
25,-2765.88416878008
26,-2765.889057348466
27,-2765.870161167232
28,-2765.8731541342677
29,-2765.8649936352335
30,-2765.8985912576463
31,-2765.869706452981
32,-2765.88825591384
33,-2765.8881015377947
34,-2765.943610689491
35,-2765.7935513471584
36,-2765.8956100179266
37,-2765.953451127073
38,-2765.921765912707
39,-2765.8606237906934
40,-2765.9200992691704
41,-2765.9658292533654
42,-2765.9429047778954
43,-2765.9625109128456
44,-2765.957312036961
45,-2765.969420264998
46,-2765.956324911157
47,-2765.9458556194577
48,-2765.941106913003
49,-2765.954743060246
50,-2766.0091121909622
