Function Evaluation,Energy (Hartree)
1,-1705.3962576328004
2,-1705.7231884100386
3,-1705.8082893078265
4,-1705.8624042440372
5,-1705.8925588480208
6,-1705.9977326763637
7,-1706.0011091891363
8,-1706.009786115199
9,-1705.9734862820626
10,-1706.0582851669092
11,-1706.1068452399809
12,-1706.1411327445135
13,-1706.1450050121189
14,-1706.150503899166
15,-1706.1432557117423
16,-1706.1491003033234
17,-1706.1587412706544
18,-1706.4002864378904
19,-1706.4085864464757
20,-1706.4312094512059
21,-1706.4329985323632
22,-1706.4500222461008
23,-1706.4413005345991
24,-1706.3934300821843
25,-1706.4327241275917
26,-1706.4337238997139
27,-1706.4390032402653
28,-1706.415571025831
29,-1706.4355745518567
30,-1706.4335236791267
31,-1706.4402142352556
32,-1706.434589024499
33,-1706.4497476839663
34,-1706.690932082609
35,-1706.6743876454632
36,-1706.68941806982
37,-1706.7200289040854
38,-1706.617217284871
39,-1706.6909839358586
40,-1706.728523154043
41,-1706.690116834061
42,-1706.711797369092
43,-1706.7173080398159
44,-1706.7088459775764
45,-1706.7258359157906
46,-1706.730950835063
47,-1706.6879449831576
48,-1706.7072609100924
49,-1706.7395633138508
50,-1706.7892712163848
